Chatuchak Weekend Market
13.799845, 100.548783
13.798032, 100.548633
13.798115, 100.550757
13.800457, 100.552168
13.802192, 100.551959
13.802197, 100.551213
13.799712, 100.549851
13.799712, 100.548596

Tha Maharaj
13.756065, 100.488785
13.753548, 100.488474
13.753570, 100.489450
13.756191, 100.489557

Pak Khlong Talat (Flower Market)
13.742357, 100.496037
13.741636, 100.495793
13.741300, 100.496839
13.742045, 100.496962

Soi Rambuttri
13.761633, 100.495835
13.761909, 100.496248
13.761612, 100.496661
13.761159, 100.496221

Train Night Market
13.694372, 100.650484
13.691964, 100.650710
13.692141, 100.651858
13.694429, 100.651536
